Probe_Set_ID	Species_Scientific_Name	Sequence Type	Sequence Source	Transcript_ID	Probe Set Name
20538433	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioB-3	AFFX-r2-Ec-c1-bioB-3_at
20538434	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioB-5	AFFX-r2-Ec-c1-bioB-5_at
20538435	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioB-M	AFFX-r2-Ec-c1-bioB-M_at
20538436	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioC-3	AFFX-r2-Ec-c1-bioC-3_at
20538437	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioC-5	AFFX-r2-Ec-c1-bioC-5_at
20538438	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioD-3	AFFX-r2-Ec-c1-bioD-3_at
20538439	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c1-bioD-5	AFFX-r2-Ec-c1-bioD-5_at
20538440	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioB-3	AFFX-r2-Ec-c2-bioB-3_at
20538441	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioB-5	AFFX-r2-Ec-c2-bioB-5_at
20538442	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioB-M	AFFX-r2-Ec-c2-bioB-M_at
20538443	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioC-3	AFFX-r2-Ec-c2-bioC-3_at
20538444	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioC-5	AFFX-r2-Ec-c2-bioC-5_at
20538445	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioD-3	AFFX-r2-Ec-c2-bioD-3_at
20538446	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c2-bioD-5	AFFX-r2-Ec-c2-bioD-5_at
20538447	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioB-3	AFFX-r2-Ec-c3-bioB-3_at
20538448	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioB-5	AFFX-r2-Ec-c3-bioB-5_at
20538449	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioB-M	AFFX-r2-Ec-c3-bioB-M_at
20538450	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioC-3	AFFX-r2-Ec-c3-bioC-3_at
20538451	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioC-5	AFFX-r2-Ec-c3-bioC-5_at
20538452	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioD-3	AFFX-r2-Ec-c3-bioD-3_at
20538453	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-Ec-c3-bioD-5	AFFX-r2-Ec-c3-bioD-5_at
20538454	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c1-cre-3	AFFX-r2-P1-c1-cre-3_at
20538455	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c1-cre-5	AFFX-r2-P1-c1-cre-5_at
20538456	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c2-cre-3	AFFX-r2-P1-c2-cre-3_at
20538457	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c2-cre-5	AFFX-r2-P1-c2-cre-5_at
20538458	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c3-cre-3	AFFX-r2-P1-c3-cre-3_at
20538459	---	Affymetrix Control Sequence	Affymetrix Proprietary Database	AFFX-r2-P1-c3-cre-5	AFFX-r2-P1-c3-cre-5_at
20521621	Acacia auriculiformis	miRNA	miRBase	aau-miR160	MIMAT0022672_st
20521622	Acacia auriculiformis	miRNA	miRBase	aau-miR172	MIMAT0022673_st
20521623	Acacia auriculiformis	miRNA	miRBase	aau-miR396	MIMAT0022674_st
20521624	Acacia auriculiformis	miRNA	miRBase	aau-miR319	MIMAT0022675_st
20521625	Acacia auriculiformis	miRNA	miRBase	aau-miR2086	MIMAT0022676_st
20521626	Acacia auriculiformis	miRNA	miRBase	aau-miR162	MIMAT0022677_st
20521627	Acacia auriculiformis	miRNA	miRBase	aau-miR168	MIMAT0022678_st
20521628	Acacia mangium	miRNA	miRBase	amg-miR319	MIMAT0022679_st
20521629	Acacia mangium	miRNA	miRBase	amg-miR396	MIMAT0022680_st
20521630	Acacia mangium	miRNA	miRBase	amg-miR2086	MIMAT0022681_st
20514597	Acyrthosiphon pisum	miRNA	miRBase	api-miR-137	MIMAT0014126_st
20514598	Acyrthosiphon pisum	miRNA	miRBase	api-miR-190	MIMAT0014127_st
20514599	Acyrthosiphon pisum	miRNA	miRBase	api-miR-10	MIMAT0014128_st
20514600	Acyrthosiphon pisum	miRNA	miRBase	api-miR-iab-4	MIMAT0014129_st
20514601	Acyrthosiphon pisum	miRNA	miRBase	api-bantam	MIMAT0014130_st
20514602	Acyrthosiphon pisum	miRNA	miRBase	api-miR-1923	MIMAT0014131_st
20514603	Acyrthosiphon pisum	miRNA	miRBase	api-miR-184a	MIMAT0014132_st
20514604	Acyrthosiphon pisum	miRNA	miRBase	api-miR-276	MIMAT0014133_st
20514605	Acyrthosiphon pisum	miRNA	miRBase	api-miR-281	MIMAT0014134_st
20514606	Acyrthosiphon pisum	miRNA	miRBase	api-miR-993	MIMAT0014135_st
20515253	Acyrthosiphon pisum	miRNA	miRBase	api-miR-100	MIMAT0014687_st
20515275	Acyrthosiphon pisum	miRNA	miRBase	api-let-7	MIMAT0014709_st
20515276	Acyrthosiphon pisum	miRNA	miRBase	api-miR-1	MIMAT0014710_st
20515277	Acyrthosiphon pisum	miRNA	miRBase	api-miR-1000	MIMAT0014711_st
20515278	Acyrthosiphon pisum	miRNA	miRBase	api-miR-124	MIMAT0014712_st
20515279	Acyrthosiphon pisum	miRNA	miRBase	api-miR-13a	MIMAT0014713_st
20515280	Acyrthosiphon pisum	miRNA	miRBase	api-miR-14	MIMAT0014714_st
20515281	Acyrthosiphon pisum	miRNA	miRBase	api-miR-184b	MIMAT0014715_st
20515282	Acyrthosiphon pisum	miRNA	miRBase	api-miR-210	MIMAT0014716_st
20515283	Acyrthosiphon pisum	miRNA	miRBase	api-miR-219	MIMAT0014717_st
20515284	Acyrthosiphon pisum	miRNA	miRBase	api-miR-263a	MIMAT0014718_st
20515285	Acyrthosiphon pisum	miRNA	miRBase	api-miR-252a	MIMAT0014719_st
20515286	Acyrthosiphon pisum	miRNA	miRBase	api-miR-263b	MIMAT0014720_st
20515287	Acyrthosiphon pisum	miRNA	miRBase	api-miR-275	MIMAT0014721_st
20515288	Acyrthosiphon pisum	miRNA	miRBase	api-miR-277	MIMAT0014722_st
20515289	Acyrthosiphon pisum	miRNA	miRBase	api-miR-278	MIMAT0014723_st
20515290	Acyrthosiphon pisum	miRNA	miRBase	api-miR-279a	MIMAT0014724_st
20515291	Acyrthosiphon pisum	miRNA	miRBase	api-miR-279b	MIMAT0014725_st
20515292	Acyrthosiphon pisum	miRNA	miRBase	api-miR-29	MIMAT0014726_st
20515293	Acyrthosiphon pisum	miRNA	miRBase	api-miR-2a	MIMAT0014727_st
20515294	Acyrthosiphon pisum	miRNA	miRBase	api-miR-2b	MIMAT0014821_st
20515295	Acyrthosiphon pisum	miRNA	miRBase	api-miR-2c	MIMAT0014728_st
20515296	Acyrthosiphon pisum	miRNA	miRBase	api-miR-307	MIMAT0014729_st
20515297	Acyrthosiphon pisum	miRNA	miRBase	api-miR-315	MIMAT0014730_st
20515298	Acyrthosiphon pisum	miRNA	miRBase	api-miR-316	MIMAT0014731_st
20515299	Acyrthosiphon pisum	miRNA	miRBase	api-miR-317	MIMAT0014732_st
20515300	Acyrthosiphon pisum	miRNA	miRBase	api-miR-34	MIMAT0014733_st
20515301	Acyrthosiphon pisum	miRNA	miRBase	api-miR-7	MIMAT0014734_st
20515302	Acyrthosiphon pisum	miRNA	miRBase	api-miR-71	MIMAT0014735_st
20515303	Acyrthosiphon pisum	miRNA	miRBase	api-miR-981	MIMAT0014736_st
20515304	Acyrthosiphon pisum	miRNA	miRBase	api-miR-8	MIMAT0014737_st
20515305	Acyrthosiphon pisum	miRNA	miRBase	api-miR-87b	MIMAT0014738_st
20515306	Acyrthosiphon pisum	miRNA	miRBase	api-miR-87a	MIMAT0014739_st
20515307	Acyrthosiphon pisum	miRNA	miRBase	api-miR-927	MIMAT0014740_st
20515308	Acyrthosiphon pisum	miRNA	miRBase	api-miR-929	MIMAT0014741_st
20515309	Acyrthosiphon pisum	miRNA	miRBase	api-miR-92a	MIMAT0014742_st
20515310	Acyrthosiphon pisum	miRNA	miRBase	api-miR-92b	MIMAT0014743_st
20515311	Acyrthosiphon pisum	miRNA	miRBase	api-miR-965	MIMAT0014744_st
20515312	Acyrthosiphon pisum	miRNA	miRBase	api-miR-971	MIMAT0014745_st
20515313	Acyrthosiphon pisum	miRNA	miRBase	api-miR-996	MIMAT0014746_st
20515314	Acyrthosiphon pisum	miRNA	miRBase	api-miR-998	MIMAT0014747_st
20515315	Acyrthosiphon pisum	miRNA	miRBase	api-miR-9a	MIMAT0014748_st
20515316	Acyrthosiphon pisum	miRNA	miRBase	api-miR-9b	MIMAT0014749_st
20515317	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3015a	MIMAT0014750_st
20515318	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3016	MIMAT0014751_st
20515319	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3017a	MIMAT0014752_st
20515320	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3015b	MIMAT0014753_st
20515321	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3018	MIMAT0014754_st
20515322	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3019	MIMAT0014755_st
20515323	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3020	MIMAT0014756_st
20515324	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3021	MIMAT0014757_st
20515325	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3022	MIMAT0014758_st
20515326	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3023	MIMAT0014759_st
20515327	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3024	MIMAT0014760_st
20515328	Acyrthosiphon pisum	miRNA	miRBase	api-miR-3025	MIMAT0014761_st
